ChargeStartDateTime;Model;Country;SiteLocationName;Description;QuantityBase;QuantityTier1;QuantityTier2;QuantityTier3;QuantityTier4;InvoiceNumber;UnitCostBase;UnitCostTier1;UnitCostTier2;UnitCostTier3;UnitCostTier4;VAT;Total Exc. VAT;Total Inc. VAT;Status;Invoice
2022-08-07T17:33:11+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;48.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-07T10:52:51+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;63.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-05T12:14:21+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;40.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-04T23:25:06+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-04T12:29:19+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-03T17:36:46+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;39.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-02T21:12:35+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;39.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-02T04:17:13+02:00;ms;IT;Firenze, Italy;CHARGING : NO_CHARGE;56.00 kwh;N/A;N/A;N/A;N/A;;0.49/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-02T02:14:38+02:00;ms;IT;Occhiobello, Italy;CHARGING : NO_CHARGE;36.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-02T00:50:29+02:00;ms;IT;Mogliano Veneto, Italy;CHARGING : NO_CHARGE;30.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T23:33:11+02:00;ms;IT;Palmanova, Italy;CHARGING : NO_CHARGE;22.00 kwh;N/A;N/A;N/A;N/A;;0.50/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T21:34:01+02:00;ms;AT;Villach, Austria;CHARGING : NO_CHARGE;28.00 kwh;N/A;N/A;N/A;N/A;;0.58/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T18:26:30+02:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;52.00 kwh;N/A;N/A;N/A;N/A;;0.58/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T17:19:23+02:00;ms;AT;Wiener Neustadt, Austria;CHARGING : NO_CHARGE;20.00 kwh;N/A;N/A;N/A;N/A;;0.58/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T15:29:41+02:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;28.00 kwh;N/A;N/A;N/A;N/A;;0.58/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T12:56:34+02:00;ms;CZ;Olomouc, Czech Republic;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;13.80/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-01T10:29:12+02:00;ms;PL;Katowice, Poland;CHARGING : NO_CHARGE;42.00 kwh;N/A;N/A;N/A;N/A;;2.00/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-29T05:43:48+02:00;ms;PL;Katowice, Poland;CHARGING : NO_CHARGE;39.00 kwh;N/A;N/A;N/A;N/A;;1.60/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-29T02:46:40+02:00;ms;CZ;Olomouc, Czech Republic;CHARGING : NO_CHARGE;47.00 kwh;N/A;N/A;N/A;N/A;;13.30/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-29T00:33:23+02:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;43.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-28T23:05:17+02:00;ms;AT;Wiener Neustadt, Austria;CHARGING : NO_CHARGE;13.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-28T21:49:11+02:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;25.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
